,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401170924,2024-09-17
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401170924,2024-09-17
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401170924,2024-09-17
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401170924,2024-09-17
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401180924,2024-09-18
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401180924,2024-09-18
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401180924,2024-09-18
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401180924,2024-09-18
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401180924,2024-09-18
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401180924,2024-09-18
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401180924,2024-09-18
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401180924,2024-09-18
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401180924,2024-09-18
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401180924,2024-09-18
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401180924,2024-09-18
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401180924,2024-09-18
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401180924,2024-09-18
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401180924,2024-09-18
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401180924,2024-09-18
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401180924,2024-09-18
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401180924,2024-09-18
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401200924,2024-09-20
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401200924,2024-09-20
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401200924,2024-09-20
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401200924,2024-09-20
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401200924,2024-09-20
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401200924,2024-09-20
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401200924,2024-09-20
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401200924,2024-09-20
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401200924,2024-09-20
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401200924,2024-09-20
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401200924,2024-09-20
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401200924,2024-09-20
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401200924,2024-09-20
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401200924,2024-09-20
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401200924,2024-09-20
15,"Вода, обогащенная кислородом-18",ЦМИ,2404K007,2026-04-01 00:00:00,–,S18401200924,2024-09-20
16,Вода для промывки линий доставки,ООО «Гротекс»,160224,2027-01-01 00:00:00,"114-116, СТ-05530/A",S18401200924,2024-09-20
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401240924,2024-09-24
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401240924,2024-09-24
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401240924,2024-09-24
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401240924,2024-09-24
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401240924,2024-09-24
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401240924,2024-09-24
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401240924,2024-09-24
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401240924,2024-09-24
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401240924,2024-09-24
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401240924,2024-09-24
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401240924,2024-09-24
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401240924,2024-09-24
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401240924,2024-09-24
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401240924,2024-09-24
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401240924,2024-09-24
15,"Вода, обогащенная кислородом-18",ЦМИ,2406M005,2026-06-01 00:00:00,–,S18401240924,2024-09-24
16,Вода для промывки линий доставки,ООО «Гротекс»,160224,2027-01-01 00:00:00,"114-116, СТ-05530/A",S18401240924,2024-09-24
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401250924,2024-09-25
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401250924,2024-09-25
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401250924,2024-09-25
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401250924,2024-09-25
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401250924,2024-09-25
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401250924,2024-09-25
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401250924,2024-09-25
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401250924,2024-09-25
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401250924,2024-09-25
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401250924,2024-09-25
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401250924,2024-09-25
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401250924,2024-09-25
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401250924,2024-09-25
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401250924,2024-09-25
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401250924,2024-09-25
15,"Вода, обогащенная кислородом-18",ЦМИ,2406M005,2026-06-01 00:00:00, ,S18401250924,2024-09-25
16,Вода для промывки линий доставки,ООО «Гротекс»,160224,2027-01-01 00:00:00,"114-116, СТ-05530/A",S18401250924,2024-09-25
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401280924,2024-09-28
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401280924,2024-09-28
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401280924,2024-09-28
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401280924,2024-09-28
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401280924,2024-09-28
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401280924,2024-09-28
